Scenario,Num_Queues,Total_Tickets,Avg_Breach_Reduction_Pct,Median_Breach_Reduction_Pct,Avg_Delay_Reduction_Pct,Median_Delay_Reduction_Pct,Total_Reassignments,Total_Escalations,Total_Prioritizations
NORMAL,20,545,42.7895,44.725,6.3655,3.75,45,6,5
HEAVY_LOAD,20,1489,45.541,47.515,7.672499999999999,7.52,136,4,13
CRITICAL_SURGE,20,1204,40.149,44.235,8.2755,7.67,166,22,7
ANALYST_OVERLOAD,20,1057,35.9665,36.275000000000006,6.7995,6.19,74,8,10
SLA_CRISIS,20,990,57.061,59.3,20.500999999999998,21.045,242,35,31
